,gemini-2.5-flash,gpt-4o
kbaa-p113:pred_adj_nrows,22,22
kbaa-p113:gt_nrows,22,22
kbaa-p113:matches_pct,96.5034965034965,89.5104895104895
kbaa-p114:__COL__:lastname,23,23
kbaa-p114:__COL__:firstname,22,22
kbaa-p114:__COL__:maidenname,23,23
kbaa-p114:__COL__:birthyear,23,22
kbaa-p114:__COL__:deathyear,23,23
kbaa-p114:__COL__:title,2,14
kbaa-p114:__COL__:city,23,21
kbaa-p114:__COL__:publisher,23,20
kbaa-p114:__COL__:publishyear,23,22
kbaa-p114:__COL__:pagecount,23,20
kbaa-p114:__COL__:library,23,19
kbaa-p114:__COL__:description,17,19
kbaa-p114:__COL__:index,23,23
kbaa-p114:matches,271,271
kbaa-p114:total,299,299
kbaa-p114:mismatch_bool,False,False
kbaa-p114:pred_nrows,23,22
kbaa-p114:pred_adj_nrows,23,23
kbaa-p114:gt_nrows,23,23
kbaa-p114:matches_pct,90.63545150501672,90.63545150501672
kbaa-p115:__COL__:lastname,18,17
kbaa-p115:__COL__:firstname,15,17
kbaa-p115:__COL__:maidenname,18,18
kbaa-p115:__COL__:birthyear,18,17
kbaa-p115:__COL__:deathyear,18,15
kbaa-p115:__COL__:title,11,8
kbaa-p115:__COL__:city,17,18
kbaa-p115:__COL__:publisher,16,17
kbaa-p115:__COL__:publishyear,18,18
kbaa-p115:__COL__:pagecount,17,17
kbaa-p115:__COL__:library,17,17
kbaa-p115:__COL__:description,17,16
kbaa-p115:__COL__:index,18,18
kbaa-p115:matches,218,213
kbaa-p115:total,234,234
kbaa-p115:mismatch_bool,False,False
kbaa-p115:pred_nrows,18,18
kbaa-p115:pred_adj_nrows,18,18
kbaa-p115:gt_nrows,18,18
kbaa-p115:matches_pct,93.16239316239316,91.02564102564102
kbaa-p119:__COL__:lastname,20,20
kbaa-p119:__COL__:firstname,20,19
kbaa-p119:__COL__:maidenname,20,20
kbaa-p119:__COL__:birthyear,20,19
kbaa-p119:__COL__:deathyear,20,19
kbaa-p119:__COL__:title,19,6
kbaa-p119:__COL__:city,20,19
kbaa-p119:__COL__:publisher,20,17
kbaa-p119:__COL__:publishyear,20,20
kbaa-p119:__COL__:pagecount,20,19
kbaa-p119:__COL__:library,20,16
kbaa-p119:__COL__:description,17,19
kbaa-p119:__COL__:index,20,20
kbaa-p119:matches,256,233
kbaa-p119:total,260,260
kbaa-p119:mismatch_bool,False,False
kbaa-p119:pred_nrows,19,19
kbaa-p119:pred_adj_nrows,20,20
kbaa-p119:gt_nrows,20,20
kbaa-p119:matches_pct,98.46153846153847,89.61538461538461
kbaa-p121:__COL__:lastname,22,22
kbaa-p121:__COL__:firstname,21,20
kbaa-p121:__COL__:maidenname,21,22
kbaa-p121:__COL__:birthyear,22,21
kbaa-p121:__COL__:deathyear,22,22
kbaa-p121:__COL__:title,4,3
kbaa-p121:__COL__:city,22,22
kbaa-p121:__COL__:publisher,22,20
kbaa-p121:__COL__:publishyear,22,21
kbaa-p121:__COL__:pagecount,22,21
kbaa-p121:__COL__:library,22,4
kbaa-p121:__COL__:description,21,14
kbaa-p121:__COL__:index,22,22
kbaa-p121:matches,265,234
kbaa-p121:total,286,286
kbaa-p121:mismatch_bool,False,False
kbaa-p121:pred_nrows,22,22
kbaa-p121:pred_adj_nrows,22,22
kbaa-p121:gt_nrows,22,22
kbaa-p121:matches_pct,92.65734265734265,81.81818181818183
kbaa-p124:__COL__:lastname,19,19
kbaa-p124:__COL__:firstname,18,18
kbaa-p124:__COL__:maidenname,19,18
kbaa-p124:__COL__:birthyear,19,18
kbaa-p124:__COL__:deathyear,19,18
kbaa-p124:__COL__:title,12,2
kbaa-p124:__COL__:city,19,18
kbaa-p124:__COL__:publisher,19,15
kbaa-p124:__COL__:publishyear,18,18
kbaa-p124:__COL__:pagecount,19,18
kbaa-p124:__COL__:library,17,18
kbaa-p124:__COL__:description,14,17
kbaa-p124:__COL__:index,19,19
kbaa-p124:matches,231,216
kbaa-p124:total,247,247
kbaa-p124:mismatch_bool,False,False
kbaa-p124:pred_nrows,18,18
kbaa-p124:pred_adj_nrows,19,19
kbaa-p124:gt_nrows,19,19
kbaa-p124:matches_pct,93.52226720647774,87.4493927125506
kbaa-p151:__COL__:lastname,21,21
kbaa-p151:__COL__:firstname,21,20
kbaa-p151:__COL__:maidenname,21,20
kbaa-p151:__COL__:birthyear,21,21
kbaa-p151:__COL__:deathyear,21,21
kbaa-p151:__COL__:title,18,4
kbaa-p151:__COL__:city,21,18
kbaa-p151:__COL__:publisher,20,19
kbaa-p151:__COL__:publishyear,21,21
kbaa-p151:__COL__:pagecount,21,21
kbaa-p151:__COL__:library,21,21
kbaa-p151:__COL__:description,17,14
kbaa-p151:__COL__:index,21,21
kbaa-p151:matches,265,242
kbaa-p151:total,273,273
kbaa-p151:mismatch_bool,False,False
kbaa-p151:pred_nrows,20,20
kbaa-p151:pred_adj_nrows,21,21
kbaa-p151:gt_nrows,21,21
kbaa-p151:matches_pct,97.06959706959707,88.64468864468864
__ALL__:__COL__:lastname,788,647
__ALL__:__COL__:firstname,753,606
__ALL__:__COL__:maidenname,809,677
__ALL__:__COL__:birthyear,795,633
__ALL__:__COL__:deathyear,805,659
__ALL__:__COL__:title,392,265
__ALL__:__COL__:city,777,600
__ALL__:__COL__:publisher,750,564
__ALL__:__COL__:publishyear,783,623
__ALL__:__COL__:pagecount,784,621
__ALL__:__COL__:library,754,529
__ALL__:__COL__:description,654,512
__ALL__:__COL__:index,784,642
__ALL__:matches,9628,7578
__ALL__:total,10673,8983
__ALL__:matches_pct,90.20893844279959,84.35934543025715
__ALL__:mismatched_dim_count,3,9
__ALL__:pred_nrows,863,838
__ALL__:pred_adj_nrows,880,861
__ALL__:gt_nrows,883,883
__ALL__:counted_nrows,821,691
kbaa-p005:__COL__:lastname,,19
kbaa-p005:__COL__:firstname,,19
kbaa-p005:__COL__:maidenname,,21
kbaa-p005:__COL__:birthyear,,20
kbaa-p005:__COL__:deathyear,,20
kbaa-p005:__COL__:title,,2
kbaa-p005:__COL__:city,,21
kbaa-p005:__COL__:publisher,,21
kbaa-p005:__COL__:publishyear,,20
kbaa-p005:__COL__:pagecount,,21
kbaa-p005:__COL__:library,,19
kbaa-p005:__COL__:description,,15
kbaa-p005:__COL__:index,,21
kbaa-p068:__COL__:lastname,,20
kbaa-p068:__COL__:firstname,,19
kbaa-p068:__COL__:maidenname,,19
kbaa-p068:__COL__:birthyear,,20
kbaa-p068:__COL__:deathyear,,20
kbaa-p068:__COL__:title,,15
kbaa-p068:__COL__:city,,19
kbaa-p068:__COL__:publisher,,20
kbaa-p068:__COL__:publishyear,,20
kbaa-p068:__COL__:pagecount,,20
kbaa-p068:__COL__:library,,20
kbaa-p068:__COL__:description,,16
kbaa-p068:__COL__:index,,20
