,gemini-2.5-flash,gpt-4o
kbaa-p114:matches_pct,85.95317725752508,88.2943143812709
kbaa-p115:__COL__:lastname,18,18
kbaa-p115:__COL__:firstname,17,17
kbaa-p115:__COL__:maidenname,18,18
kbaa-p115:__COL__:birthyear,18,18
kbaa-p115:__COL__:deathyear,18,17
kbaa-p115:__COL__:title,17,1
kbaa-p115:__COL__:city,18,18
kbaa-p115:__COL__:publisher,18,18
kbaa-p115:__COL__:publishyear,18,18
kbaa-p115:__COL__:pagecount,18,18
kbaa-p115:__COL__:library,17,17
kbaa-p115:__COL__:description,14,16
kbaa-p115:__COL__:index,18,18
kbaa-p115:matches,227,212
kbaa-p115:total,234,234
kbaa-p115:mismatch_bool,False,False
kbaa-p115:pred_nrows,18,18
kbaa-p115:pred_adj_nrows,18,18
kbaa-p115:gt_nrows,18,18
kbaa-p115:matches_pct,97.00854700854701,90.5982905982906
kbaa-p119:__COL__:lastname,20,20
kbaa-p119:__COL__:firstname,18,18
kbaa-p119:__COL__:maidenname,20,20
kbaa-p119:__COL__:birthyear,20,20
kbaa-p119:__COL__:deathyear,20,20
kbaa-p119:__COL__:title,19,1
kbaa-p119:__COL__:city,18,18
kbaa-p119:__COL__:publisher,20,20
kbaa-p119:__COL__:publishyear,20,20
kbaa-p119:__COL__:pagecount,20,20
kbaa-p119:__COL__:library,20,20
kbaa-p119:__COL__:description,18,16
kbaa-p119:__COL__:index,20,20
kbaa-p119:matches,253,233
kbaa-p119:total,260,260
kbaa-p119:mismatch_bool,False,False
kbaa-p119:pred_nrows,19,19
kbaa-p119:pred_adj_nrows,20,20
kbaa-p119:gt_nrows,20,20
kbaa-p119:matches_pct,97.3076923076923,89.61538461538461
kbaa-p121:__COL__:lastname,22,
kbaa-p121:__COL__:firstname,21,
kbaa-p121:__COL__:maidenname,22,
kbaa-p121:__COL__:birthyear,22,
kbaa-p121:__COL__:deathyear,22,
kbaa-p121:__COL__:title,21,
kbaa-p121:__COL__:city,22,
kbaa-p121:__COL__:publisher,22,
kbaa-p121:__COL__:publishyear,22,
kbaa-p121:__COL__:pagecount,22,
kbaa-p121:__COL__:library,22,
kbaa-p121:__COL__:description,22,
kbaa-p121:__COL__:index,22,
kbaa-p121:matches,284,
kbaa-p121:total,286,
kbaa-p121:mismatch_bool,False,True
kbaa-p121:pred_nrows,22,19
kbaa-p121:pred_adj_nrows,22,19
kbaa-p121:gt_nrows,22,22
kbaa-p121:matches_pct,99.3006993006993,
kbaa-p124:__COL__:lastname,19,19
kbaa-p124:__COL__:firstname,19,18
kbaa-p124:__COL__:maidenname,19,19
kbaa-p124:__COL__:birthyear,19,19
kbaa-p124:__COL__:deathyear,19,19
kbaa-p124:__COL__:title,16,1
kbaa-p124:__COL__:city,19,19
kbaa-p124:__COL__:publisher,17,17
kbaa-p124:__COL__:publishyear,19,18
kbaa-p124:__COL__:pagecount,19,19
kbaa-p124:__COL__:library,19,18
kbaa-p124:__COL__:description,16,17
kbaa-p124:__COL__:index,19,19
kbaa-p124:matches,239,222
kbaa-p124:total,247,247
kbaa-p124:mismatch_bool,False,False
kbaa-p124:pred_nrows,19,18
kbaa-p124:pred_adj_nrows,19,19
kbaa-p124:gt_nrows,19,19
kbaa-p124:matches_pct,96.76113360323887,89.87854251012146
kbaa-p151:__COL__:lastname,20,20
kbaa-p151:__COL__:firstname,20,19
kbaa-p151:__COL__:maidenname,21,21
kbaa-p151:__COL__:birthyear,21,21
kbaa-p151:__COL__:deathyear,21,21
kbaa-p151:__COL__:title,18,2
kbaa-p151:__COL__:city,21,21
kbaa-p151:__COL__:publisher,21,21
kbaa-p151:__COL__:publishyear,21,21
kbaa-p151:__COL__:pagecount,21,21
kbaa-p151:__COL__:library,21,20
kbaa-p151:__COL__:description,17,17
kbaa-p151:__COL__:index,20,21
kbaa-p151:matches,263,246
kbaa-p151:total,273,273
kbaa-p151:mismatch_bool,False,False
kbaa-p151:pred_nrows,21,21
kbaa-p151:pred_adj_nrows,21,21
kbaa-p151:gt_nrows,21,21
kbaa-p151:matches_pct,96.33699633699634,90.10989010989012
__ALL__:__COL__:lastname,732,654
__ALL__:__COL__:firstname,694,612
__ALL__:__COL__:maidenname,766,719
__ALL__:__COL__:birthyear,733,647
__ALL__:__COL__:deathyear,760,693
__ALL__:__COL__:title,421,219
__ALL__:__COL__:city,723,631
__ALL__:__COL__:publisher,696,607
__ALL__:__COL__:publishyear,722,627
__ALL__:__COL__:pagecount,722,625
__ALL__:__COL__:library,694,636
__ALL__:__COL__:description,591,544
__ALL__:__COL__:index,724,631
__ALL__:matches,8978,7845
__ALL__:total,10101,9516
__ALL__:matches_pct,88.88228888228889,82.44010088272383
__ALL__:mismatched_dim_count,5,7
__ALL__:pred_nrows,865,849
__ALL__:pred_adj_nrows,879,866
__ALL__:gt_nrows,883,883
__ALL__:counted_nrows,777,732
kbaa-p005:__COL__:lastname,,11
kbaa-p005:__COL__:firstname,,7
kbaa-p005:__COL__:maidenname,,19
kbaa-p005:__COL__:birthyear,,6
kbaa-p005:__COL__:deathyear,,12
kbaa-p005:__COL__:title,,1
kbaa-p005:__COL__:city,,4
kbaa-p005:__COL__:publisher,,5
kbaa-p005:__COL__:publishyear,,3
kbaa-p005:__COL__:pagecount,,3
kbaa-p005:__COL__:library,,6
kbaa-p005:__COL__:description,,2
kbaa-p005:__COL__:index,,3
kbaa-p101:__COL__:lastname,,14
kbaa-p101:__COL__:firstname,,10
kbaa-p101:__COL__:maidenname,,22
kbaa-p101:__COL__:birthyear,,13
kbaa-p101:__COL__:deathyear,,20
kbaa-p101:__COL__:title,,0
kbaa-p101:__COL__:city,,12
kbaa-p101:__COL__:publisher,,12
kbaa-p101:__COL__:publishyear,,12
kbaa-p101:__COL__:pagecount,,12
kbaa-p101:__COL__:library,,13
kbaa-p101:__COL__:description,,12
kbaa-p101:__COL__:index,,12
