,gemini-2.5-flash,gpt-4o
kbaa-p121:__COL__:title,21,
kbaa-p121:__COL__:city,22,
kbaa-p121:__COL__:publisher,20,
kbaa-p121:__COL__:publishyear,22,
kbaa-p121:__COL__:pagecount,22,
kbaa-p121:__COL__:library,22,
kbaa-p121:__COL__:description,22,
kbaa-p121:__COL__:index,22,
kbaa-p121:matches,281,
kbaa-p121:total,286,
kbaa-p121:mismatch_bool,False,True
kbaa-p121:pred_nrows,22,19
kbaa-p121:pred_adj_nrows,22,19
kbaa-p121:gt_nrows,22,22
kbaa-p121:matches_pct,98.25174825174825,
kbaa-p064:__COL__:lastname,22,22
kbaa-p064:__COL__:firstname,20,21
kbaa-p064:__COL__:maidenname,22,22
kbaa-p064:__COL__:birthyear,22,22
kbaa-p064:__COL__:deathyear,22,22
kbaa-p064:__COL__:title,5,19
kbaa-p064:__COL__:city,22,22
kbaa-p064:__COL__:publisher,22,22
kbaa-p064:__COL__:publishyear,22,22
kbaa-p064:__COL__:pagecount,22,21
kbaa-p064:__COL__:library,22,22
kbaa-p064:__COL__:description,19,18
kbaa-p064:__COL__:index,22,22
kbaa-p064:matches,264,277
kbaa-p064:total,286,286
kbaa-p064:mismatch_bool,False,False
kbaa-p064:pred_nrows,21,21
kbaa-p064:pred_adj_nrows,22,22
kbaa-p064:gt_nrows,22,22
kbaa-p064:matches_pct,92.3076923076923,96.85314685314685
kbaa-p072:__COL__:lastname,19,
kbaa-p072:__COL__:firstname,19,
kbaa-p072:__COL__:maidenname,19,
kbaa-p072:__COL__:birthyear,19,
kbaa-p072:__COL__:deathyear,20,
kbaa-p072:__COL__:title,6,
kbaa-p072:__COL__:city,19,
kbaa-p072:__COL__:publisher,18,
kbaa-p072:__COL__:publishyear,20,
kbaa-p072:__COL__:pagecount,20,
kbaa-p072:__COL__:library,20,
kbaa-p072:__COL__:description,15,
kbaa-p072:__COL__:index,20,
kbaa-p072:matches,234,
kbaa-p072:total,260,
kbaa-p072:mismatch_bool,False,True
kbaa-p072:pred_nrows,19,21
kbaa-p072:pred_adj_nrows,20,21
kbaa-p072:gt_nrows,20,20
kbaa-p072:matches_pct,90.0,
kbaa-p005:__COL__:lastname,11,20
kbaa-p005:__COL__:firstname,7,19
kbaa-p005:__COL__:maidenname,19,21
kbaa-p005:__COL__:birthyear,6,21
kbaa-p005:__COL__:deathyear,12,21
kbaa-p005:__COL__:title,3,1
kbaa-p005:__COL__:city,4,21
kbaa-p005:__COL__:publisher,5,21
kbaa-p005:__COL__:publishyear,3,20
kbaa-p005:__COL__:pagecount,3,21
kbaa-p005:__COL__:library,6,21
kbaa-p005:__COL__:description,2,17
kbaa-p005:__COL__:index,3,21
kbaa-p005:matches,84,245
kbaa-p005:total,273,273
kbaa-p005:mismatch_bool,False,False
kbaa-p005:pred_nrows,20,21
kbaa-p005:pred_adj_nrows,21,21
kbaa-p005:gt_nrows,21,21
kbaa-p005:matches_pct,30.76923076923077,89.74358974358975
kbaa-p101:__COL__:lastname,14,22
kbaa-p101:__COL__:firstname,11,19
kbaa-p101:__COL__:maidenname,22,21
kbaa-p101:__COL__:birthyear,13,22
kbaa-p101:__COL__:deathyear,20,22
kbaa-p101:__COL__:title,12,0
kbaa-p101:__COL__:city,13,22
kbaa-p101:__COL__:publisher,11,20
kbaa-p101:__COL__:publishyear,12,22
kbaa-p101:__COL__:pagecount,12,22
kbaa-p101:__COL__:library,13,22
kbaa-p101:__COL__:description,11,20
kbaa-p101:__COL__:index,12,22
kbaa-p101:matches,176,256
kbaa-p101:total,286,286
kbaa-p101:mismatch_bool,False,False
kbaa-p101:pred_nrows,21,22
kbaa-p101:pred_adj_nrows,22,22
kbaa-p101:gt_nrows,22,22
kbaa-p101:matches_pct,61.53846153846154,89.5104895104895
kbaa-p068:__COL__:lastname,20,20
kbaa-p068:__COL__:firstname,20,19
kbaa-p068:__COL__:maidenname,19,19
kbaa-p068:__COL__:birthyear,20,20
kbaa-p068:__COL__:deathyear,20,20
kbaa-p068:__COL__:title,0,15
kbaa-p068:__COL__:city,18,19
kbaa-p068:__COL__:publisher,19,19
kbaa-p068:__COL__:publishyear,19,20
kbaa-p068:__COL__:pagecount,20,20
kbaa-p068:__COL__:library,19,20
kbaa-p068:__COL__:description,16,15
kbaa-p068:__COL__:index,20,20
kbaa-p068:matches,230,246
kbaa-p068:total,260,260
kbaa-p068:mismatch_bool,False,False
kbaa-p068:pred_nrows,20,20
kbaa-p068:pred_adj_nrows,20,20
kbaa-p068:gt_nrows,20,20
kbaa-p068:matches_pct,88.46153846153845,94.61538461538461
__ALL__:__COL__:lastname,738,687
__ALL__:__COL__:firstname,706,639
__ALL__:__COL__:maidenname,788,720
__ALL__:__COL__:birthyear,736,683
__ALL__:__COL__:deathyear,770,708
__ALL__:__COL__:title,422,286
__ALL__:__COL__:city,720,662
__ALL__:__COL__:publisher,693,637
__ALL__:__COL__:publishyear,722,666
__ALL__:__COL__:pagecount,724,659
__ALL__:__COL__:library,729,661
__ALL__:__COL__:description,601,587
__ALL__:__COL__:index,724,670
__ALL__:matches,9073,8265
__ALL__:total,10400,9516
__ALL__:matches_pct,87.24038461538461,86.85372005044137
__ALL__:mismatched_dim_count,4,7
__ALL__:pred_nrows,860,854
__ALL__:pred_adj_nrows,875,870
__ALL__:gt_nrows,883,883
__ALL__:counted_nrows,800,732
kbaa-p067:__COL__:lastname,,20
kbaa-p067:__COL__:firstname,,18
kbaa-p067:__COL__:maidenname,,19
kbaa-p067:__COL__:birthyear,,20
kbaa-p067:__COL__:deathyear,,20
kbaa-p067:__COL__:title,,17
kbaa-p067:__COL__:city,,19
kbaa-p067:__COL__:publisher,,19
kbaa-p067:__COL__:publishyear,,20
kbaa-p067:__COL__:pagecount,,20
kbaa-p067:__COL__:library,,20
kbaa-p067:__COL__:description,,14
kbaa-p067:__COL__:index,,20
kbaa-p058:__COL__:lastname,,21
kbaa-p058:__COL__:firstname,,20
kbaa-p058:__COL__:maidenname,,21
kbaa-p058:__COL__:birthyear,,21
kbaa-p058:__COL__:deathyear,,21
kbaa-p058:__COL__:title,,1
kbaa-p058:__COL__:city,,20
kbaa-p058:__COL__:publisher,,21
kbaa-p058:__COL__:publishyear,,21
kbaa-p058:__COL__:pagecount,,20
kbaa-p058:__COL__:library,,20
kbaa-p058:__COL__:description,,18
kbaa-p058:__COL__:index,,21
kbaa-p009:__COL__:lastname,,22
kbaa-p009:__COL__:firstname,,18
kbaa-p009:__COL__:maidenname,,23
kbaa-p009:__COL__:birthyear,,23
kbaa-p009:__COL__:deathyear,,23
kbaa-p009:__COL__:title,,19
kbaa-p009:__COL__:city,,23
kbaa-p009:__COL__:publisher,,22
kbaa-p009:__COL__:publishyear,,23
kbaa-p009:__COL__:pagecount,,23
kbaa-p009:__COL__:library,,23
kbaa-p009:__COL__:description,,23
kbaa-p009:__COL__:index,,23
